216	657892.16	5733163.55
217	657892.50	5733165.52
218	657892.85	5733167.49
219	657893.19	5733169.46
220	657893.53	5733171.43
221	657893.88	5733173.40
222	657894.22	5733175.37
223	657894.57	5733177.34
224	657894.91	5733179.31
225	657895.25	5733181.28
226	657895.60	5733183.26
227	657895.94	5733185.23
228	657896.29	5733187.20
229	657896.63	5733189.17
230	657896.97	5733191.14
231	657897.32	5733193.11
232	657897.66	5733195.08
233	657898.01	5733197.05
234	657898.35	5733199.02
235	657898.69	5733200.99
236	657899.04	5733202.96
237	657899.38	5733204.93
238	657899.72	5733206.90
239	657900.07	5733208.87
240	657900.41	5733210.84
241	657900.76	5733212.81
242	657901.10	5733214.78
243	657901.44	5733216.75
244	657901.79	5733218.72
245	657902.13	5733220.69
246	657902.48	5733222.66
247	657902.82	5733224.63
248	657903.16	5733226.60
249	657903.51	5733228.57
250	657903.85	5733230.54
251	657904.20	5733232.51
252	657904.54	5733234.48
253	657904.88	5733236.45
254	657905.23	5733238.42
255	657905.57	5733240.39
256	657905.92	5733242.36
257	657906.26	5733244.33
258	657906.60	5733246.30
259	657906.95	5733248.27
260	657907.29	5733250.24
261	657907.64	5733252.21
262	657907.98	5733254.18
263	657908.32	5733256.15
264	657908.67	5733258.12
265	657909.01	5733260.09
266	657909.35	5733262.06
267	657909.70	5733264.03
268	657910.04	5733266.00
269	657910.39	5733267.97
270	657910.73	5733269.94
271	657911.07	5733271.91
272	657911.42	5733273.88
273	657911.76	5733275.85
274	657912.11	5733277.83
275	657912.45	5733279.80
276	657912.79	5733281.77
277	657913.14	5733283.74
278	657913.48	5733285.71
279	657913.83	5733287.68
280	657914.17	5733289.65
281	657914.51	5733291.62
282	657914.86	5733293.59
283	657915.20	5733295.56
284	657915.55	5733297.53
285	657915.89	5733299.50
286	657916.23	5733301.47
287	657916.58	5733303.44
288	657916.92	5733305.41
289	657917.26	5733307.38
290	657917.61	5733309.35
291	657917.95	5733311.32
292	657918.30	5733313.29
293	657918.64	5733315.26
294	657918.98	5733317.23
295	657919.33	5733319.20
296	657919.67	5733321.17
297	657920.02	5733323.14
298	657920.36	5733325.11
299	657920.70	5733327.08
300	657921.05	5733329.05
301	657921.39	5733331.02
302	657921.74	5733332.99
303	657922.08	5733334.96
304	657922.42	5733336.93
